#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
3.809159630151919984e-41,2.943475871631420564e-41,1.443297723043560729e-42,1.585086289416915333e-43,9.617248711152944953e+44,6.714406779661016955e+00
2.268627707659177855e-41,1.758128754879705806e-41,8.620771290130827165e-43,9.467669877126821680e-44,1.124210035062093184e+45,6.866779661016949809e+00
1.349902494945232598e-41,1.049138666139319576e-41,5.144324309193600914e-43,5.649699158134678936e-44,1.314147362611752726e+45,7.019152542372881776e+00
8.026793548977981849e-42,6.256086320396334275e-42,3.067596112614792134e-43,3.368954625190353582e-44,1.536174946671835894e+45,7.171525423728813742e+00
4.770409669984343235e-42,3.728496542183502799e-42,1.828223095549493878e-43,2.007826463302319620e-44,1.795714494371633422e+45,7.323898305084746596e+00
2.833997134858159157e-42,2.221172904393287671e-42,1.089125216311034503e-43,1.196120121489820002e-44,2.099103720108563115e+45,7.476271186440678562e+00
1.683124821465510628e-42,1.322792789040839797e-42,6.486154137974731497e-44,7.123349417795883468e-45,2.453751106639806846e+45,7.628644067796610528e+00
9.993999017822310765e-43,7.875808494505769924e-43,3.861807252031957914e-44,4.241188515601838236e-45,2.868316813342020825e+45,7.781016949152542495e+00
5.933260385492336989e-43,4.688323740632968313e-43,2.298862730611148881e-44,2.524701409394013567e-45,3.352924149249539347e+45,7.933389830508475349e+00
3.522067970286663128e-43,2.790476802227844376e-43,1.368276483485850993e-44,1.502695015364859396e-45,3.919406774847229034e+45,8.085762711864406427e+00
2.090580032529709815e-43,1.660704280142131367e-43,8.143062184672747770e-45,8.943030960774576974e-46,4.581597669054463191e+45,8.238135593220340169e+00
1.240828141889259881e-43,9.882582609253129368e-44,4.845804620039035386e-45,5.321853101950150885e-46,5.355666917706907259e+45,8.390508474576272135e+00
7.364454971192584061e-44,5.880596630153435995e-44,2.883479293388576905e-45,3.166750297457397628e-46,6.260516572014777345e+45,8.542881355932204102e+00
4.370791255518553376e-44,3.499061803806773411e-44,1.715722551999029369e-45,1.884273944451421549e-46,7.318242219076181846e+45,8.695254237288136068e+00
2.594028776129306310e-44,2.081929737805111573e-44,1.020849016997500547e-45,1.121136515753119350e-46,8.554672535565614547e+45,8.847627118644068034e+00
1.539530852201995213e-44,1.238706802254200028e-44,6.073848691754905800e-46,6.670539370762218102e-47,9.999999999999999931e+45,9.000000000000000000e+00
