x, y
0.11353661510660554, 2.2854628346609087e-13
0.2707418971810552, 1.092599384650681e-12
0.39301320518612454, 3.354603697016017e-12
0.5240176069148327, 9.999986486678259e-12
0.7772925170611971, 6.235510150023669e-11
1.0917030812100956, 3.55862197008941e-10
1.4497815127394273, 1.7012542798525858e-9
1.886463384893396, 7.896519311556315e-9
2.3580792311167444, 2.3539382578679677e-8
2.7161576626460753, 4.2481997845845366e-8
0.20087314945488208, 1.3433987274723829e-15
0.20087314945488208, 1.3433987274723829e-15
0.3318775511835895, 4.004647535706612e-15
0.48034893994698785, 1.511775751586367e-14
1.2751092436302867, 1.6517674879996424e-12
0.7860264103722483, 1.4251007445159067e-13
2.4104809918082273, 4.9238826317067315e-11
2.9781664661034903, 1.1590515704026112e-10
4.471616645810762, 2.810076508280746e-10
5.659390154680185, 1.91448111380254e-10
6.986901958589369, 6.614737661658191e-11
7.449783111914252, 3.7750481039735364e-11
0.14847138876339835, 8.886242165500185e-8
0.14847138876339835, 8.886242165500185e-8
0.31441056414889934, 1.6037180213654277e-7
0.31441056414889934, 1.6037180213654277e-7
0.724890756369714, 4.124626382901348e-7
0.724890756369714, 4.124626382901348e-7
0.9257639058245947, 6.422325422229356e-7
0.9257639058245947, 6.422325422229356e-7
1.1615718289362695, 8.133109245779314e-7
1.1615718289362695, 8.133109245779314e-7
1.3799127650132534, 0.0000010608188329792027
1.3799127650132534, 0.0000010608188329792027
0.5240176069148327, 2.64896928761053e-7
0.5240176069148327, 2.64896928761053e-7
