x, y
0.1762112085567537, 3.074719370997475e-15
0.29955897388326863, 1.0878923446572445e-14
0.4493392674570319, 3.252337693854144e-14
0.6431713548798222, 1.217211197063925e-13
0.9251102565291832, 6.749454604887086e-13
1.2246692304124511, 3.0747173948540207e-12
1.797357069828126, 1.7049354729468472e-11
2.3876649814777093, 7.766842008208542e-11
2.977973699759422, 1.9076028599100316e-10
3.832599634192328, 3.440214341600724e-10
4.845815091683823, 3.742578035441142e-10
4.352423223745636, 4.1874701082123654e-10
5.356828645120176, 3.252337693854144e-10
5.744493626597886, 2.9067974940248846e-10
6.414097509724957, 1.6118225965539986e-10
7.23348168642579, 9.192109639735794e-11
7.753304469346968, 4.685244895715238e-11
8.378855751992882, 2.195149151604677e-11
