# 42<log(Lx)<43, 43<log(Lx)<44, 44<log(Lx)<47, 42<log(Lx)<47, L_x, Z_list
4.542375699716602103e+05,1.029550689455912652e+05,1.948793797192917191e+04,5.766805768891806947e+05,2.915053062825169948e+44,5.549292929292929166e+00
4.128599523265733733e+05,9.357663845222636883e+04,1.771273376294230184e+04,5.241493245417420403e+05,3.199267137797384580e+44,5.640101010101010282e+00
3.756912623232268961e+05,8.515218108699633740e+04,1.611810317056683925e+04,4.769615465807900764e+05,3.511191734215141658e+44,5.730909090909090509e+00
3.422599470352618955e+05,7.757481717447628034e+04,1.468381538434850700e+04,4.345185795940866810e+05,3.853528593710551309e+44,5.821717171717171624e+00
3.121520042406401481e+05,7.075071117544213485e+04,1.339210866427115798e+04,3.962948240803534281e+05,4.229242874389533408e+44,5.912525252525252739e+00
2.850034001736162463e+05,6.459735313490976841e+04,1.222736504318407606e+04,3.618281183517100872e+05,4.641588833612753248e+44,6.003333333333332966e+00
2.604935575153330865e+05,5.904208270475453173e+04,1.117583094516531492e+04,3.307114711652529077e+05,5.094138014816364851e+44,6.094141414141414081e+00
2.383397528183990798e+05,5.402081929379911890e+04,1.022537682089945156e+04,3.025859489330976503e+05,5.590810182512223049e+44,6.184949494949495197e+00
2.182922881369985989e+05,4.947696769520366070e+04,9.365289998424686928e+03,2.771345458306269720e+05,6.135907273413188325e+44,6.275757575757575424e+00
2.001303229249294673e+05,4.536047336666823685e+04,8.586095861041423632e+03,2.540768921526391350e+05,6.734150657750856224e+44,6.366565656565656539e+00
1.836582700227356690e+05,4.162700556406730175e+04,7.879403226065584022e+03,2.331646788128685730e+05,7.390722033525835179e+44,6.457373737373737654e+00
1.687026743964656489e+05,3.823724989299629669e+04,7.237770434845359887e+03,2.141776947243073082e+05,8.111308307896822896e+44,6.548181818181817881e+00
1.551095057175991242e+05,3.515629465935261396e+04,6.654589197608111135e+03,1.969203895745598711e+05,8.902150854450355627e+44,6.638989898989898997e+00
1.427418062986067089e+05,3.235309776293532559e+04,6.123983683960620510e+03,1.812188877455026668e+05,9.770099572992247162e+44,6.729797979797980112e+00
1.314776446601318603e+05,2.980002286387795539e+04,5.640722725757485932e+03,1.669183902497673116e+05,1.072267222010325332e+45,6.820606060606060339e+00
1.212083323826717242e+05,2.747243522374578970e+04,5.200143315538288334e+03,1.538809109219558013e+05,1.176811952435003945e+45,6.911414141414141454e+00
1.118368681177007238e+05,2.534834903338194272e+04,4.798083850678738600e+03,1.419833010017613997e+05,1.291549665014893249e+45,7.002222222222222570e+00
1.032765778904754989e+05,2.340811923118116829e+04,4.430825798949816999e+03,1.311155229206064832e+05,1.417474162926796139e+45,7.093030303030302797e+00
9.544992527637665626e+04,2.163417182399511148e+04,4.095042652080421703e+03,1.211791397524521890e+05,1.555676143930465735e+45,7.183838383838383912e+00
8.828746880511642667e+04,2.001076757792096032e+04,3.787755195766998895e+03,1.120859915788043727e+05,1.707352647470688649e+45,7.274646464646464139e+00
8.172694715073105181e+04,1.852379467233674222e+04,3.506292262015998858e+03,1.037570340850837965e+05,1.873817422860386874e+45,7.365454545454545254e+00
7.571247539025884180e+04,1.716058652817244365e+04,3.248256246612611449e+03,9.612131816504389280e+04,2.056512308348660024e+45,7.456262626262626370e+00
7.019383793549885741e+04,1.590976154758793382e+04,3.011492774109352922e+03,8.911509225719614187e+04,2.257019719633935335e+45,7.547070707070706597e+00
6.512586572320020059e+04,1.476108195121716926e+04,2.794063977713453824e+03,8.268101165213082277e+04,2.477076355991693659e+45,7.637878787878787712e+00
6.046788694189389935e+04,1.370532928283615183e+04,2.594224934081907122e+03,7.676744115881195466e+04,2.718588242732928823e+45,7.728686868686868827e+00
5.618324202252099349e+04,1.273419447972209491e+04,2.410402855195548909e+03,7.132783935743864276e+04,2.983647240283333900e+45,7.819494949494949054e+00
5.223885486197285354e+04,1.184018068846375536e+04,2.241178692766991844e+03,6.632021424320360529e+04,3.274549162877731883e+45,7.910303030303030170e+00
4.860485331478605076e+04,1.101651724762960293e+04,2.085270856376686424e+03,6.170664141879234376e+04,3.593813663804640254e+45,8.001111111111111285e+00
4.525423290471015935e+04,1.025708346642253127e+04,1.941520785850561197e+03,5.745283715698325250e+04,3.944206059437680459e+45,8.091919191919192400e+00
4.216255849683228735e+04,9.556341007272298157e+03,1.808880152241411452e+03,5.352777965634599968e+04,4.328761281083096841e+45,8.182727272727273515e+00
3.930769935107527999e+04,8.909273834471743612e+03,1.686399490955341207e+03,4.990337267650236754e+04,4.750810162102773833e+45,8.273535353535352854e+00
3.666959356496895634e+04,8.311334824029941956e+03,1.573218095752308955e+03,4.655414648475121066e+04,5.214008287999673548e+45,8.364343434343433970e+00
3.423003842108236859e+04,7.758398244937414347e+03,1.468555024121902079e+03,4.345699169014168729e+04,5.722367659350219913e+45,8.455151515151515085e+00
3.197250359372360617e+04,7.246717421591418315e+03,1.371701083379432930e+03,4.059092209869445651e+04,6.280291441834271721e+45,8.545959595959596200e+00
2.988196455016822802e+04,6.772886973405190474e+03,1.282011683158208371e+03,3.793686320673162118e+04,6.892612104349737492e+45,8.636767676767677315e+00
2.794475381197381284e+04,6.333809102489786710e+03,1.198900454144632704e+03,3.547746336860823067e+04,7.564633275546229208e+45,8.727575757575758431e+00
2.614842802891734755e+04,5.926663465340345283e+03,1.121833545214652077e+03,3.319692503947234218e+04,8.302175681319701303e+45,8.818383838383837769e+00
2.448164906772216636e+04,5.548880221040215474e+03,1.050324521840135276e+03,3.108085381060251530e+04,9.111627561154867654e+45,8.909191919191918885e+00
2.293407753516423327e+04,5.198115897774994664e+03,9.839297979614011638e+02,2.911612323090063001e+04,9.999999999999999931e+45,9.000000000000000000e+00
